planet_name,num_planets,period,axis,density,distance,mass_e,radius_e,star_temp,star_mass,star_radius,star_type_num,star_type,disc_method,link
Kepler-436 b,1,64.00205,0.339,,618,,2.73,4651,0.73,0.7,,,Transit,http://exoplanet.eu/catalog/kepler-436_b/
Kepler-378 b,2,16.092361,0.112,,,,0.75,4661,0.96,0.67,,,Transit,http://exoplanet.eu/catalog/kepler-378_b/
Kepler-378 c,2,28.906009,0.166,,,,0.7,4661,0.96,0.67,,,Transit,http://exoplanet.eu/catalog/kepler-378_c/
91 Aqr b,1,181.4,0.7,,45.52,,,4665,1.4,11,5,K0 III,Radial Velocity,http://exoplanet.eu/catalog/91_aqr_b/
Kepler-202 b,2,4.069427,0.045,,,,1.63,4668,,0.67,,,Transit,http://exoplanet.eu/catalog/kepler-202_b/
Kepler-202 c,2,16.282493,0.113,,,,1.85,4668,,0.67,,,Transit,http://exoplanet.eu/catalog/kepler-202_c/
WASP-10 b,1,3.0927616,0.03781,4.14,90,1001.12,12.106,4675,0.75,0.7,,,Transit,http://exoplanet.eu/catalog/wasp-10_b/
HD 173416 b,1,323.6,1.16,,134.95,,,4683,2,13.5,4.8,G8,Radial Velocity,http://exoplanet.eu/catalog/hd_173416_b/
Kepler-241 b,2,12.718092,0.094,,,,2.33,4699,,0.67,,,Transit,http://exoplanet.eu/catalog/kepler-241_b/
Kepler-241 c,2,36.065978,0.189,,,,2.57,4699,,0.67,,,Transit,http://exoplanet.eu/catalog/kepler-241_c/
HD 139357 b,1,1125.7,2.36,,121.36,,,4700,1.35,11.47,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_139357_b/
Kepler-413 b,1,66.262,0.3553,3.2,,67,4.347,4700,0.82,0.78,,,Transit,
Kepler-367 b,2,37.815724,0.201,,,,1.3,4710,0.75,0.69,,,Transit,http://exoplanet.eu/catalog/kepler-367_b/
Kepler-367 c,2,53.578637,0.253,,,,1.2,4710,0.75,0.69,,,Transit,http://exoplanet.eu/catalog/kepler-367_c/
Kepler-383 b,2,12.904532,0.095,,,,1.32,4710,0.67,0.67,,,Transit,http://exoplanet.eu/catalog/kepler-383_b/
Kepler-383 c,2,31.200751,0.172,,,,1.24,4710,0.67,0.67,,,Transit,http://exoplanet.eu/catalog/kepler-383_c/
Kepler-309 b,2,5.923653,0.059,,,,1.56,4713,,0.72,,,Transit,http://exoplanet.eu/catalog/kepler-309_b/
Kepler-309 c,2,105.356383,0.401,,,,2.51,4713,,0.72,,,Transit,http://exoplanet.eu/catalog/kepler-309_c/
BD-17 63 b,1,655.6,1.34,,37.54,,,4714,0.74,0.69,5.5,K5 V,Radial Velocity,http://exoplanet.eu/catalog/bd-17_63_b/
HD 85512 b,1,58.43,0.26,,11.15,,,4715,0.69,,5.5,K5 V,Radial Velocity,http://exoplanet.eu/catalog/hd_85512_b/
WASP-69 b,1,3.8681382,0.04525,0.291,50,82.632,9.113,4715,0.83,0.81,5.5,K5,Transit,
Kepler-443 b,1,177.6693,0.495,,779,,2.33,4723,0.74,0.71,,,Transit,http://exoplanet.eu/catalog/kepler-443_b/
Kepler-113 b,2,4.754,,10.73,,11.7,1.82,4725,0.75,0.69,,,Transit,
Kepler-113 c,2,8.92507,,,,8.7,2.18,4725,0.75,0.69,,,Transit,
Kepler-304 b,3,3.295709,0.039,,,,2.86,4731,0.8,0.69,,,Transit,http://exoplanet.eu/catalog/kepler-304_b/
Kepler-304 c,3,5.315946,0.054,,,,2.17,4731,0.8,0.69,,,Transit,http://exoplanet.eu/catalog/kepler-304_c/
Kepler-304 d,3,9.653471,0.08,,,,2.75,4731,0.8,0.69,,,Transit,http://exoplanet.eu/catalog/kepler-304_d/
HD 99492 b,2,17.054,0.12186,,17.99,,,4740,0.83,0.96,5.3,K2/4,Radial Velocity,http://exoplanet.eu/catalog/hd_99492_b/
HD 99492 c,2,4970,5.4,,17.99,,,4740,0.83,0.96,5.3,K2/4,Radial Velocity,http://exoplanet.eu/catalog/hd_99492_c/
11 Com b,1,326.03,1.29,,110.62,,,4742,2.7,19,5,K0 III,Radial Velocity,http://exoplanet.eu/catalog/11_com_b/
BD-08 2823 b,2,5.6,0.056,,42.09,,,4746,0.74,,5.3,K3 V,Radial Velocity,http://exoplanet.eu/catalog/bd-082823_b/
BD-08 2823 c,2,237.6,0.68,,42.09,,,4746,0.74,,5.3,K3 V,Radial Velocity,http://exoplanet.eu/catalog/bd-082823_c/
omi CrB b,1,187.83,0.83,,84.03,,,4749,2.13,10.5,5,K0,Radial Velocity,http://exoplanet.eu/catalog/omi_crb_b/
HD 81688 b,1,184.02,0.81,,88.26,,,4753,2.1,13,4.5,G5,Radial Velocity,http://exoplanet.eu/catalog/hd_81688_b/
HD 145457 b,1,176.3,0.76,,126.1,,,4757,1.9,9.9,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_145457_b/
HD 1605 b,2,577.9,1.48,,84.6,,,4757,1.31,3.8,5.1,K1 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_1605_b/
HD 1605 c,2,2111,3.52,,84.6,,,4757,1.31,3.8,5.1,K1 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_1605_c/
K2-16 b,2,7.62067,0.0662,,324,,2.13,4761,0.67,0.64,,,Transit,
K2-16 c,2,19.07536,0.122,,324,,2.14,4761,0.67,0.64,,,Transit,
ome Ser b,1,277.02,1.1,,80.64,,,4770,2.17,12.3,4.8,G8 III,Radial Velocity,http://exoplanet.eu/catalog/ome_ser_b/
HAT-P-11 b,1,4.8878162,0.053,1.33,38,25.743,4.73,4780,0.81,0.75,5.4,K4,Transit,http://exoplanet.eu/catalog/hat-p-11_b/
HIP 105854 b,1,184.2,0.81,,84.6,,,4780,2.1,,5.2,K2 III,Radial Velocity,http://exoplanet.eu/catalog/hip_105854_b/
xi Aql b,1,136.75,0.68,,62.66,,,4780,2.2,12,4.9,G9 III,Radial Velocity,http://exoplanet.eu/catalog/ksi_aql_b/
Kepler-94 b,2,2.50806,,1.45,,10.84,3.51,4781,0.81,0.76,,,Transit,
Kepler-94 c,2,820.3,,,,3126,,4781,0.81,0.76,,,Radial Velocity,
Kepler-99 b,1,4.60358,,10.9,,6.15,1.48,4782,0.79,0.73,,,Transit,
81 Cet b,1,952.7,2.5,,97.18,,,4785,2.4,11,4.5,G5 III,Radial Velocity,http://exoplanet.eu/catalog/81_cet_b/
kap CrB b,1,1261.94,2.8,,30.5,635.66,,4788,1.47,5.06,5,K0 III-IV,Radial Velocity,http://exoplanet.eu/catalog/kappa_crb_b/
OGLE-TR-113 b,1,1.4324752,0.02289,1.2,600,400.449,12.251,4790,0.78,0.77,5.4,K4 V,Transit,http://exoplanet.eu/catalog/ogle-tr-113_b/
HD 233604 b,1,192,0.747,,,,,4791,1.5,10.9,5.5,K5,Radial Velocity,http://exoplanet.eu/catalog/hd_233604_b/
7 CMa b,1,796,1.93,,19.84,,,4792,1.52,2.3,5.1,K1 III,Radial Velocity,http://exoplanet.eu/catalog/7_cma_b/
HD 20868 b,1,380.85,0.947,,48.9,,,4795,0.78,0.79,5.35,K3/4 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_20868_b/
BD+15 2940 b,1,137.48,0.539,,175.44,,,4796,1.1,14.7,5,K0,Radial Velocity,http://exoplanet.eu/catalog/bd+15_2940_b/
Kepler-167 b,2,4.393147,0.048,,,,1.45,4796,0.76,0.7,,,Transit,http://exoplanet.eu/catalog/kepler-167_b/
Kepler-167 c,2,7.406097,0.068,,,,1.37,4796,0.76,0.7,,,Transit,http://exoplanet.eu/catalog/kepler-167_c/
WASP-29 b,1,3.922727,0.0457,0.65,70,77.547,8.878,4800,0.82,0.81,,,Transit,http://exoplanet.eu/catalog/wasp-29_b/
HAT-P-18 b,1,5.508023,0.0559,0.25,166,62.61,11.153,4803,0.77,0.75,5.2,K2,Transit,http://exoplanet.eu/catalog/hat-p-18_b/
HD 114386 b,1,937.7,1.65,,28.04,,,4804,0.68,,5.3,K3 V,Radial Velocity,http://exoplanet.eu/catalog/hd_114386_b/
TYC 1422-614-1 b,2,198.4,0.69,,759,,,4806,1.15,6.85,,,Radial Velocity,
TYC 1422-614-1 c,2,559.3,1.37,,759,,,4806,1.15,6.85,,,Radial Velocity,
14 And b,1,185.84,0.83,,76.39,,,4813,2.2,11,4.8,G8 III,Radial Velocity,http://exoplanet.eu/catalog/14_and_b/
HD 14067 b,1,1455,3.4,,163.4,,,4815,2.4,12.4,4.9,G9 III,Radial Velocity,
HD 218566 b,1,225.7,0.6873,,29.94,,,4820,0.85,0.86,5.3,K3 V,Radial Velocity,http://exoplanet.eu/catalog/hd_218566_b/
HD 219415 b,1,2093.3,3.2,,,,,4820,1,2.9,5,K0 III,Radial Velocity,http://exoplanet.eu/catalog/hd_219415_b/
HD 5583 b,1,139.35,0.53,,221,,,4830,1.01,9.09,,,Radial Velocity,
HIP 63242 b,1,124.6,0.565,,149.25,,,4830,1.54,,4.8,G8,Radial Velocity,http://exoplanet.eu/catalog/hip_63242_b/
HD 12648 b,1,133.6,0.54,,158.4,,,4835.8,1.2,9.2,4.5,G5,Radial Velocity,
HD 63454 b,1,2.818049,0.0368,,35.8,,12.31,4840,0.84,1.05,5.4,K4 V,Radial Velocity,http://exoplanet.eu/catalog/hd_63454_b/
Kepler-56 b,2,10.5016,0.1028,0.442,,22.1,6.51,4840,1.32,4.23,,,Transit,http://exoplanet.eu/catalog/kepler-56_b/
Kepler-56 c,2,21.40239,0.1652,1.06,,181,9.8,4840,1.32,4.23,,,Transit,http://exoplanet.eu/catalog/kepler-56_c/
HD 2952 b,1,311.6,1.2,,115.21,,,4844,2.54,12.02,5,K0 III,Radial Velocity,http://exoplanet.eu/catalog/hd_2952_b/
HD 155233 b,1,885,2.07,,75.1,,,4845,1.5,5.03,5.1,K1 III,Radial Velocity,http://exoplanet.eu/catalog/hd_155233_b/
75 Cet b,1,691.9,2.1,,81.5,,,4846,2.49,10.5,4.3,G3 III,Radial Velocity,http://exoplanet.eu/catalog/75_cet_b/
8 UMi b,1,93.4,0.49,,159.1,,,4847.4,1.8,9.9,5,K0,Radial Velocity,
HD 5608 b,1,792.6,1.9,,58.17,,,4854,1.55,5.5,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_5608_b/
HD 33844 b,2,551.4,1.6,,100.9,,,4861,1.78,5.29,5,K0 III,Radial Velocity,http://exoplanet.eu/catalog/hd_33844_b/
HD 33844 c,2,916,2.24,,100.9,,,4861,1.78,5.29,5,K0 III,Radial Velocity,http://exoplanet.eu/catalog/hd_33844_c/
Kepler-237 b,2,4.715106,0.05,,,,1.41,4861,0.7,0.72,,,Transit,http://exoplanet.eu/catalog/kepler-237_b/
Kepler-237 c,2,8.103636,0.071,,,,2.08,4861,0.7,0.72,,,Transit,http://exoplanet.eu/catalog/kepler-237_c/
HD 206610 b,1,610,1.68,,170.07,,,4874,1.56,6.1,5,K0 III,Radial Velocity,http://exoplanet.eu/catalog/hd_206610_b/
HD 189733 b,1,2.2185752,,,19.25,,,4875,0.85,0.81,5.2,K2 V,Radial Velocity,http://exoplanet.eu/catalog/hd_189733_b/
HD 27894 b,1,17.9904,0.125,,42.37,,,4875,0.8,,5.2,K2 V,Radial Velocity,http://exoplanet.eu/catalog/hd_27894_b/
Kepler-174 b,3,13.98179,0.1,,,,1.96,4880,,0.62,,,Transit,http://exoplanet.eu/catalog/kepler-174_b/
Kepler-174 c,3,44.000529,0.214,,,,1.49,4880,,0.62,,,Transit,http://exoplanet.eu/catalog/kepler-174_c/
Kepler-174 d,3,247.35373,0.677,,,,2.19,4880,,0.62,,,Transit,http://exoplanet.eu/catalog/kepler-174_d/
HIP 67851 b,2,88.9,0.46,,,,,4890,1.63,5.92,5,K0 III,Radial Velocity,http://exoplanet.eu/catalog/hip_67851_b/
HIP 67851 c,2,2131.8,3.82,,,,,4890,1.63,5.92,5,K0 III,Radial Velocity,http://exoplanet.eu/catalog/hip_67851_c/
K2-8 b,1,10.35176,0.0856,,,,2.97,4890,0.79,0.74,,,Transit,
HD 120084 b,1,2082,4.3,,97.66,,,4892,2.39,9.12,4.7,G7 III,Radial Velocity,http://exoplanet.eu/catalog/hd_120084_b/
eps Tau b,1,594.9,1.93,,47.53,,,4901,2.7,13.7,5,K0 III,Radial Velocity,http://exoplanet.eu/catalog/eps_tau_b/
Kepler-102 b,5,5.28696,,23.29,,0.41,0.47,4909,0.81,0.76,,,Transit,
Kepler-102 c,5,7.07142,,,,3,0.58,4909,0.81,0.76,,,Transit,
Kepler-102 d,5,10.3117,,13.27,,3.8,1.18,4909,0.81,0.76,,,Transit,
Kepler-102 e,5,16.1457,,4.68,,8.93,2.22,4909,0.81,0.76,,,Transit,
Kepler-102 f,5,27.4536,,4.92,,0.62,0.88,4909,0.81,0.76,,,Transit,
Kepler-141 b,2,3.107675,0.039,,,,0.69,4910,1,0.79,,,Transit,http://exoplanet.eu/catalog/kepler-141_b/
Kepler-141 c,2,7.010606,0.067,,,,1.41,4910,1,0.79,,,Transit,http://exoplanet.eu/catalog/kepler-141_c/
HD 219134 b,7,3.0931,0.038474,,6.55,,,4913,0.79,0.77,5.3,K3 V,Radial Velocity,http://exoplanet.eu/catalog/hd_219134_b/
HD 219134 c,7,6.7635,0.064816,,6.55,,,4913,0.79,0.77,5.3,K3 V,Radial Velocity,http://exoplanet.eu/catalog/hd_219134_c/
HD 219134 d,7,46.71,0.23508,,6.55,,,4913,0.79,0.77,5.3,K3 V,Radial Velocity,http://exoplanet.eu/catalog/hd_219134_d/
HD 219134 e,7,1842,2.56,,6.55,,,4913,0.79,0.77,5.3,K3 V,Radial Velocity,http://exoplanet.eu/catalog/hd_219134_e/
HD 219134 f,7,22.805,0.14574,,6.55,,,4913,0.79,0.77,5.3,K3 V,Radial Velocity,
HD 219134 g,7,94.2,0.3753,,6.55,,,4913,0.79,0.77,5.3,K3 V,Radial Velocity,
HD 219134 h,7,2247,3.11,,6.55,,,4913,0.79,0.77,5.3,K3 V,Radial Velocity,
Kepler-239 b,2,11.763051,0.095,,,,2.33,4914,0.74,0.76,,,Transit,http://exoplanet.eu/catalog/kepler-239_b/
Kepler-239 c,2,56.228098,0.268,,,,2.51,4914,0.74,0.76,,,Transit,http://exoplanet.eu/catalog/kepler-239_c/
HD 180314 b,1,396.03,1.4,,131.75,,,4917,2.6,9.2,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_180314_b/
HD 75784 b,1,341.7,1.073,,68.7,,,4917,1.41,3.3,5.3,K3 IV,Radial Velocity,
Kepler-62 b,5,5.714932,0.0553,,368,9,1.31,4925,0.69,0.64,5.2,K2 V,Transit,http://exoplanet.eu/catalog/kepler-62_b/
Kepler-62 c,5,12.4417,0.0929,,368,4,0.54,4925,0.69,0.64,5.2,K2 V,Transit,http://exoplanet.eu/catalog/kepler-62_c/
Kepler-62 d,5,18.16406,0.12,,368,14,1.95,4925,0.69,0.64,5.2,K2 V,Transit,http://exoplanet.eu/catalog/kepler-62_d/
Kepler-62 e,5,122.3874,0.427,,368,36,1.61,4925,0.69,0.64,5.2,K2 V,Transit,http://exoplanet.eu/catalog/kepler-62_e/
Kepler-62 f,5,267.291,0.718,,368,35,1.41,4925,0.69,0.64,5.2,K2 V,Transit,http://exoplanet.eu/catalog/kepler-62_f/
nu Oph b,2,530.32,1.9,,46.84,,,4928,3.04,15.1,5.1,K1 III,Radial Velocity,http://exoplanet.eu/catalog/nu_oph_b/
nu Oph c,2,3186,6.1,,46.84,,,4928,3.04,15.1,5.1,K1 III,Radial Velocity,http://exoplanet.eu/catalog/nu_oph_c/
Kepler-391 b,2,7.416755,0.082,,,,3.2,4940,1.22,3.57,,,Transit,http://exoplanet.eu/catalog/kepler-391_b/
Kepler-391 c,2,20.485435,0.161,,,,3.54,4940,1.22,3.57,,,Transit,http://exoplanet.eu/catalog/kepler-391_c/
Kepler-258 b,2,13.19722,0.103,,,,4.06,4942,0.8,0.92,,,Transit,http://exoplanet.eu/catalog/kepler-258_b/
Kepler-258 c,2,33.653079,0.193,,,,3.61,4942,0.8,0.92,,,Transit,http://exoplanet.eu/catalog/kepler-258_c/
BD+49 828 b,1,2590,4.2,,,,,4943,1.52,7.6,5,K0,Radial Velocity,http://exoplanet.eu/catalog/bd+49_828/
HD 167042 b,1,420.77,1.32,,50,,,4943,1.5,4.5,5.1,K1 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_167042_b/
HIP 107773 b,1,144.3,0.72,,,,,4945,2.42,11.6,5.1,K1 III,Radial Velocity,http://exoplanet.eu/catalog/hip_107773_b/
HD 62509 b,1,589.64,1.64,,10.34,,,4946,2.1,8.31,5,K0 III,Radial Velocity,http://exoplanet.eu/catalog/hd_62509_b/
HD 177830 b,2,406.6,1.2218,,59.03,,,4949,1.47,2.62,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_177830_b/
HD 177830 c,2,110.9,0.5137,,59.03,,,4949,1.47,2.62,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_177830_c/
CoRoT-24 b,2,5.1134,0.056,0.9,600,5.7,3.7,4950,0.91,0.86,5.1,K1 V,Transit,
CoRoT-24 c,2,11.759,0.098,1.3,600,28,5,4950,0.91,0.86,5.1,K1 V,Transit,
Kepler-306 b,4,4.646186,0.05,,,,1.52,4954,0.82,0.72,,,Transit,http://exoplanet.eu/catalog/kepler-306_b/
Kepler-306 c,4,7.240193,0.067,,,,2.35,4954,0.82,0.72,,,Transit,http://exoplanet.eu/catalog/kepler-306_c/
Kepler-306 d,4,17.326644,0.12,,,,2.47,4954,0.82,0.72,,,Transit,http://exoplanet.eu/catalog/kepler-306_d/
Kepler-306 e,4,44.840975,0.227,,,,2.27,4954,0.82,0.72,,,Transit,http://exoplanet.eu/catalog/kepler-306_e/
Kepler-332 b,3,7.626324,0.07,,,,1.17,4955,0.8,0.72,,,Transit,http://exoplanet.eu/catalog/kepler-332_b/
Kepler-332 c,3,15.995622,0.114,,,,1.09,4955,0.8,0.72,,,Transit,http://exoplanet.eu/catalog/kepler-332_c/
Kepler-332 d,3,34.21154,0.189,,,,1.18,4955,0.8,0.72,,,Transit,http://exoplanet.eu/catalog/kepler-332_d/
HD 40307 b,5,4.3123,0.0468,,12.83,,,4956,0.77,,5.3,K3 V,Radial Velocity,http://exoplanet.eu/catalog/hd_40307_b/
HD 40307 c,5,9.6184,0.0799,,12.83,,,4956,0.77,,5.3,K3 V,Radial Velocity,http://exoplanet.eu/catalog/hd_40307_c/
HD 40307 d,5,20.432,0.1321,,12.83,,,4956,0.77,,5.3,K3 V,Radial Velocity,http://exoplanet.eu/catalog/hd_40307_d/
HD 40307 f,5,51.76,0.247,,12.83,,,4956,0.77,,5.3,K3 V,Radial Velocity,http://exoplanet.eu/catalog/hd_40307_f/
HD 40307 g,5,197.8,0.6,,12.83,,,4956,0.77,,5.3,K3 V,Radial Velocity,http://exoplanet.eu/catalog/hd_40307_g/
HD 5319 b,2,641,1.6697,,114,,,4958,1.51,3.85,5.3,K3 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_5319_b/
HD 5319 c,2,886,2.071,,114,,,4958,1.51,3.85,5.3,K3 IV,Radial Velocity,
HD 4732 b,2,360.2,1.19,,56.5,,,4959,1.74,5.4,5,K0 IV,Radial Velocity,
HD 4732 c,2,2732,4.6,,56.5,,,4959,1.74,5.4,5,K0 IV,Radial Velocity,
HD 181433 b,3,9.3743,0.08,,26.15,,,4962,0.78,,5.3,K3 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_181433_b/
HD 181433 c,3,962,1.76,,26.15,,,4962,0.78,,5.3,K3 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_181433_c/
HD 181433 d,3,2172,3,,26.15,,,4962,0.78,,5.3,K3 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_181433_d/
HIP 5158 b,2,345.72,0.89,,44.8,,,4962,0.78,,,,Radial Velocity,http://exoplanet.eu/catalog/hip_5158_b/
HIP 5158 c,2,9017.76,7.7,,44.8,,,4962,0.78,,,,Radial Velocity,http://exoplanet.eu/catalog/hip_5158_c/
HD 210702 b,1,354.8,1.2,,55.93,,,4967,1.68,5.1,5.1,K1 III,Radial Velocity,http://exoplanet.eu/catalog/hd_210702_b/
Kepler-411 b,1,3.00516,0.038,,,,1.88,4974,0.83,0.79,,,Transit,
6 Lyn b,1,874.774,2.18,,56.95,,,4978,1.7,5.2,5,K0 III-IV,Radial Velocity,http://exoplanet.eu/catalog/6_lyn_b/
18 Del b,1,993.3,2.6,,73.1,,,4979,2.3,8.5,4.6,G6 III,Radial Velocity,http://exoplanet.eu/catalog/18_del_b/
WASP-11 b,1,3.7224747,0.0435,0.594,121.7,154.777,11.265,4980,0.83,0.79,,,Transit,http://exoplanet.eu/catalog/wasp-11-hat-p-10_b/
Kepler-124 b,3,3.410493,0.039,,,,0.73,4984,,0.64,,,Transit,http://exoplanet.eu/catalog/kepler-124_b/
Kepler-124 c,3,13.821375,0.1,,,,1.75,4984,,0.64,,,Transit,http://exoplanet.eu/catalog/kepler-124_c/
Kepler-124 d,3,30.950851,0.17,,,,1.11,4984,,0.64,,,Transit,http://exoplanet.eu/catalog/kepler-124_d/
Kepler-240 b,2,4.144495,0.048,,,,1.37,4985,,0.74,,,Transit,http://exoplanet.eu/catalog/kepler-240_b/
Kepler-240 c,2,7.953528,0.074,,,,2.2,4985,,0.74,,,Transit,http://exoplanet.eu/catalog/kepler-240_c/
HAT-P-19 b,1,4.008778,0.0466,0.25,215,92.802,12.689,4990,0.84,0.82,5.1,K1,Transit,http://exoplanet.eu/catalog/hat-p-19_b/
Kepler-278 b,2,30.160546,0.207,,,,4.07,4991,,2.94,,,Transit,http://exoplanet.eu/catalog/kepler-278_b/
Kepler-278 c,2,51.078775,0.294,,,,3.59,4991,,2.94,,,Transit,http://exoplanet.eu/catalog/kepler-278_c/
Kepler-432 b,2,52.501129,0.301,4.46,870,1719.4603,12.834,4995,1.32,4.06,,,Transit,http://exoplanet.eu/catalog/kepler-432_b/
Kepler-432 c,2,406.2,,,870,,,4995,1.32,4.06,,,Radial Velocity,http://exoplanet.eu/catalog/koi-1299_c/
Kepler-169 b,5,3.250619,0.04,,,,1.13,4997,0.86,0.76,,,Transit,http://exoplanet.eu/catalog/kepler-169_b/
Kepler-169 c,5,6.195469,0.062,,,,1.21,4997,0.86,0.76,,,Transit,http://exoplanet.eu/catalog/kepler-169_c/
Kepler-169 d,5,8.348125,0.075,,,,1.25,4997,0.86,0.76,,,Transit,http://exoplanet.eu/catalog/kepler-169_d/
Kepler-169 e,5,13.767102,0.105,,,,2.2,4997,0.86,0.76,,,Transit,http://exoplanet.eu/catalog/kepler-169_e/
Kepler-169 f,5,87.090195,0.359,,,,2.58,4997,0.86,0.76,,,Transit,http://exoplanet.eu/catalog/kepler-169_f/
HIP 65891 b,1,1084.5,2.81,,,,,5000,2.5,8.93,5,K0 III,Radial Velocity,http://exoplanet.eu/catalog/hip_65891_b/
Lupus-TR-3 b,1,3.91405,0.0464,1.4,2000,257.431,9.976,5000,0.87,0.82,,,Transit,
WASP-52 b,1,1.7497798,0.0272,0.29,140,146.2,14.24,5000,0.87,0.79,5.2,K2 V,Transit,http://exoplanet.eu/catalog/wasp-52_b/
WTS-2 b,1,1.0187068,0.01855,0.54,1000,355.9696,15.278,5000,0.82,0.75,5.2,K2 V,Transit,http://exoplanet.eu/catalog/wts-2_b/
HD 95089 b,1,507,1.51,,149.03,,,5002,1.58,4.9,4.9,G8/K0 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_95089_b/
BD+14 4559 b,1,268.94,0.777,,50.03,,,5008,0.86,0.95,5.2,K2 V,Radial Velocity,http://exoplanet.eu/catalog/bd14_4559_b/
HD 41004 A b,1,963,,,43.03,,,5010,0.7,,5.15,K1/K2 V,Radial Velocity,http://exoplanet.eu/catalog/hd_41004_a_b/
HD 181342 b,1,663,1.78,,115.47,,,5014,1.84,4.6,5,K0 III,Radial Velocity,http://exoplanet.eu/catalog/hd_181342_b/
HD 103720 b,1,4.5557,0.0498,,41.6,,,5017,0.79,0.73,5.3,K3 V,Radial Velocity,
HD 330075 b,1,3.38773,0.039,,50.2,,,5017,0.7,,5.1,K1,Radial Velocity,http://exoplanet.eu/catalog/hd_330075_b/
Kepler-224 b,4,3.132924,0.038,,,,1.39,5018,0.74,0.68,,,Transit,http://exoplanet.eu/catalog/kepler-224_b/
Kepler-224 c,4,5.925003,0.058,,,,3.12,5018,0.74,0.68,,,Transit,http://exoplanet.eu/catalog/kepler-224_c/
Kepler-224 d,4,11.349393,0.089,,,,2.3,5018,0.74,0.68,,,Transit,http://exoplanet.eu/catalog/kepler-224_d/
Kepler-224 e,4,18.643577,0.124,,,,1.97,5018,0.74,0.68,,,Transit,http://exoplanet.eu/catalog/kepler-224_e/
HIP 97233 b,1,1058.8,2.55,,106.5,,,5020,1.93,5.34,5,K0,Radial Velocity,
Kepler-242 b,2,8.20395,0.075,,,,2.61,5020,,0.85,,,Transit,http://exoplanet.eu/catalog/kepler-242_b/
Kepler-242 c,2,14.496481,0.109,,,,2,5020,,0.85,,,Transit,http://exoplanet.eu/catalog/kepler-242_c/
HD 180902 b,1,479,1.39,,114.55,,,5030,1.52,4.1,5,K0 III/IV,Radial Velocity,http://exoplanet.eu/catalog/hd_180902_b/
HD 10442 b,1,1043,2.335,,,,,5034,1.56,,5.2,K2 IV,Radial Velocity,
HD 4313 b,1,356,1.19,,131.41,,,5035,1.72,4.9,4.5,G5,Radial Velocity,http://exoplanet.eu/catalog/hd_4313_b/
Kepler-357 b,3,6.475434,0.063,,,,1.84,5036,0.78,0.83,,,Transit,http://exoplanet.eu/catalog/kepler-357_b/
Kepler-357 c,3,16.85837,0.12,,,,2.67,5036,0.78,0.83,,,Transit,http://exoplanet.eu/catalog/kepler-357_c/
Kepler-357 d,3,49.499875,0.246,,,,3.43,5036,0.78,0.83,,,Transit,http://exoplanet.eu/catalog/kepler-357_d/
OGLE-TR-111 b,1,4.0161,0.04689,0.59,,174.799,11.781,5040,0.85,0.83,5.2,K2 V,Transit,http://exoplanet.eu/catalog/ogle-tr-111_b/
HD 73534 b,1,1770,3.067,,81,,,5041,1.23,2.39,4.5,G5 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_73534_b/
Kepler-444 b,5,3.6001053,0.04178,,35.7,,0.403,5046,0.76,0.75,5,K,Transit,http://exoplanet.eu/catalog/kepler-444_b/
Kepler-444 c,5,4.5458841,0.04881,,35.7,,0.497,5046,0.76,0.75,5,K,Transit,http://exoplanet.eu/catalog/kepler-444_c/
Kepler-444 d,5,6.189392,0.06,,35.7,,0.53,5046,0.76,0.75,5,K,Transit,http://exoplanet.eu/catalog/kepler-444_d/
Kepler-444 e,5,7.743493,0.0696,,35.7,,0.546,5046,0.76,0.75,5,K,Transit,http://exoplanet.eu/catalog/kepler-444_e/
Kepler-444 f,5,9.740486,0.0811,,35.7,,0.741,5046,0.76,0.75,5,K,Transit,http://exoplanet.eu/catalog/kepler-444_f/
HD 102956 b,1,6.495,0.081,,121.07,,,5054,1.68,4.4,4.5,G5,Radial Velocity,http://exoplanet.eu/catalog/hd_102956_b/
HD 204941 b,1,1733,2.56,,26.95,,,5056,0.74,0.72,5.15,K1/2 V,Radial Velocity,http://exoplanet.eu/catalog/hd_204941_b/
Kepler-78 b,1,0.355,,5.57,,1.86,1.173,5058,0.76,0.74,4,G,Transit,http://exoplanet.eu/catalog/kepler-78_b/
HD 175541 b,1,297.3,1.03,,127.55,,,5060,1.65,3.8,4.8,G8 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_175541_b/
