planet_name,num_planets,period,axis,density,distance,mass_e,radius_e,star_temp,star_mass,star_radius,star_type_num,star_type,disc_method,link
Kepler-427 b,1,10.290994,0.091,0.16,1100,92.17,13.79,5800,0.96,1.35,4.2,G2 V,Transit,
Kepler-44 b,1,3.2467293,0.0446,0.93,2250,317.82,12.22,5800,1.12,1.35,4.2,G2 IV,Transit,http://exoplanet.eu/catalog/kepler-44_b/
WASP-21 b,1,4.322482,0.052,0.32,242,95.345,11.99,5800,0.89,1.14,4.3,G3 V,Transit,http://exoplanet.eu/catalog/wasp-21_b/
WASP-37 b,1,3.577469,0.0446,1.53,343,572.07,13.002,5800,0.93,1,,,Transit,http://exoplanet.eu/catalog/wasp-37_b/
WASP-58 b,1,5.01718,0.0561,0.45,300,282.86,15.36,5800,0.94,1.17,4.2,G2 V,Transit,http://exoplanet.eu/catalog/wasp-58_b/
Kepler-293 b,2,19.254196,0.144,,,,3.07,5804,1.01,0.96,,,Transit,http://exoplanet.eu/catalog/kepler-293_b/
Kepler-293 c,2,54.155743,0.286,,,,3.83,5804,1.01,0.96,,,Transit,http://exoplanet.eu/catalog/kepler-293_c/
Kepler-287 b,2,20.342199,0.145,,,,2.33,5806,,1.03,,,Transit,http://exoplanet.eu/catalog/kepler-287_b/
Kepler-287 c,2,44.851896,0.246,,,,3.26,5806,,1.03,,,Transit,http://exoplanet.eu/catalog/kepler-287_c/
HD 160691 b,4,643.25,1.497,,15.28,,,5807,1.08,,4.5,G5 V,Radial Velocity,http://exoplanet.eu/catalog/mu_ara_b/
HD 160691 c,4,4205.8,5.235,,15.28,,,5807,1.08,,4.5,G5 V,Radial Velocity,http://exoplanet.eu/catalog/mu_ara_c/
HD 160691 d,4,9.6386,0.09094,,15.28,,,5807,1.08,,4.5,G5 V,Radial Velocity,http://exoplanet.eu/catalog/mu_ara_d/
HD 160691 e,4,310.55,0.921,,15.28,,,5807,1.08,,4.5,G5 V,Radial Velocity,http://exoplanet.eu/catalog/mu_ara_e/
Kepler-343 b,2,8.96855,0.088,,,,2.41,5807,1.04,1.43,,,Transit,http://exoplanet.eu/catalog/kepler-343_b/
Kepler-343 c,2,23.22182,0.167,,,,2.02,5807,1.04,1.43,,,Transit,http://exoplanet.eu/catalog/kepler-343_c/
HAT-P-55 b,1,3.5852467,0.04604,0.435,480,184.97706,13.249,5808,1.01,1.01,,,Transit,
HD 170469 b,1,1145,2.1,,64.98,,,5810,1.14,1.22,4.5,G5 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_170469_b/
Kepler-204 b,2,14.400974,0.117,,,,2.53,5812,0.96,1.24,,,Transit,http://exoplanet.eu/catalog/kepler-204_b/
Kepler-204 c,2,25.660593,0.173,,,,1.79,5812,0.96,1.24,,,Transit,http://exoplanet.eu/catalog/kepler-204_c/
Kepler-301 b,3,2.508553,0.036,,,,1.35,5815,0.91,0.9,,,Transit,http://exoplanet.eu/catalog/kepler-301_b/
Kepler-301 c,3,5.419026,0.06,,,,1.35,5815,0.91,0.9,,,Transit,http://exoplanet.eu/catalog/kepler-301_c/
Kepler-301 d,3,13.751243,0.112,,,,1.75,5815,0.91,0.9,,,Transit,http://exoplanet.eu/catalog/kepler-301_d/
Kepler-162 b,2,6.919798,0.069,,,,1.26,5816,,0.96,,,Transit,http://exoplanet.eu/catalog/kepler-162_b/
Kepler-162 c,2,19.446355,0.137,,,,3.03,5816,,0.96,,,Transit,http://exoplanet.eu/catalog/kepler-162_c/
Kepler-405 b,2,10.613839,0.095,,,,2.08,5818,,0.89,,,Transit,http://exoplanet.eu/catalog/kepler-405_b/
Kepler-405 c,2,29.726682,0.188,,,,4.66,5818,,0.89,,,Transit,http://exoplanet.eu/catalog/kepler-405_c/
Kepler-418 b,1,86.67856,,,,349.6,13.45,5820,0.98,1.09,,,Transit,
HD 92788 b,1,325,0.96,,32.32,,,5821,1.1,,4.6,G6 V,Radial Velocity,http://exoplanet.eu/catalog/hd_92788_b/
Kepler-203 b,3,3.162697,0.043,,,,2.57,5821,0.98,1.11,,,Transit,http://exoplanet.eu/catalog/kepler-203_b/
Kepler-203 c,3,5.370647,0.061,,,,2.47,5821,0.98,1.11,,,Transit,http://exoplanet.eu/catalog/kepler-203_c/
Kepler-203 d,3,11.32972,0.1,,,,1.44,5821,0.98,1.11,,,Transit,http://exoplanet.eu/catalog/kepler-203_d/
Kepler-100 b,3,6.88705,,14.25,,7.34,1.32,5825,1.08,1.49,,,Transit,
Kepler-100 c,3,12.8159,,0.35,,0.85,2.2,5825,1.08,1.49,,,Transit,
Kepler-100 d,3,35.3331,,,,3,1.61,5825,1.08,1.49,,,Transit,
Kepler-375 b,2,12.125934,0.101,,,,1.45,5826,0.89,0.84,,,Transit,http://exoplanet.eu/catalog/kepler-375_b/
Kepler-375 c,2,19.986326,0.141,,,,2.65,5826,0.89,0.84,,,Transit,http://exoplanet.eu/catalog/kepler-375_c/
